N_Rock,T,C,M_SE,R,T_deploy,T_remain,M_direct
901,186.0100093,1.581857337e+11,99887375,537000,0.2350026082,186.0100093,112625
905,186.0090782,1.587856199e+11,99886875,537000,0.2360459051,186.0090782,113125
909,186.0081471,1.593855061e+11,99886375,537000,0.2370892019,186.0081471,113625
913,186.007216,1.599853923e+11,99885875,537000,0.2381324987,186.007216,114125
917,186.0062849,1.605852785e+11,99885375,537000,0.2391757955,186.0062849,114625
921,186.0053538,1.611851647e+11,99884875,537000,0.2402190923,186.0053538,115125
925,186.0044227,1.617850509e+11,99884375,537000,0.2412623891,186.0044227,115625
929,186.0034916,1.623849371e+11,99883875,537000,0.242305686,186.0034916,116125
933,186.0025605,1.629848233e+11,99883375,537000,0.2433489828,186.0025605,116625
937,186.0016294,1.635847095e+11,99882875,537000,0.2443922796,186.0016294,117125
941,186.0006983,1.641845957e+11,99882375,537000,0.2454355764,186.0006983,117625
945,185.9997672,1.647844818e+11,99881875,537000,0.2464788732,185.9997672,118125
949,185.9988361,1.65384368e+11,99881375,537000,0.2475221701,185.9988361,118625
953,185.997905,1.659842542e+11,99880875,537000,0.2485654669,185.997905,119125
957,185.9969739,1.665841404e+11,99880375,537000,0.2496087637,185.9969739,119625
961,185.9960428,1.671840266e+11,99879875,537000,0.2506520605,185.9960428,120125
965,185.9951117,1.677839128e+11,99879375,537000,0.2516953573,185.9951117,120625
969,185.9941806,1.68383799e+11,99878875,537000,0.2527386541,185.9941806,121125
973,185.9932495,1.689836852e+11,99878375,537000,0.253781951,185.9932495,121625
977,185.9923184,1.695835714e+11,99877875,537000,0.2548252478,185.9923184,122125
981,185.9913873,1.701834576e+11,99877375,537000,0.2558685446,185.9913873,122625
985,185.9904562,1.707833438e+11,99876875,537000,0.2569118414,185.9904562,123125
989,185.9895251,1.7138323e+11,99876375,537000,0.2579551382,185.9895251,123625
993,185.988594,1.719831162e+11,99875875,537000,0.2589984351,185.988594,124125
997,185.9876629,1.725830024e+11,99875375,537000,0.2600417319,185.9876629,124625
1001,185.9867318,1.731828886e+11,99874875,537000,0.2610850287,185.9867318,125125
1005,185.9858007,1.737827747e+11,99874375,537000,0.2621283255,185.9858007,125625
1009,185.9848696,1.743826609e+11,99873875,537000,0.2631716223,185.9848696,126125
1013,185.9839385,1.749825471e+11,99873375,537000,0.2642149191,185.9839385,126625
1017,185.9830074,1.755824333e+11,99872875,537000,0.265258216,185.9830074,127125
1021,185.9820764,1.761823195e+11,99872375,537000,0.2663015128,185.9820764,127625
1025,185.9811453,1.767822057e+11,99871875,537000,0.2673448096,185.9811453,128125
1029,185.9802142,1.773820919e+11,99871375,537000,0.2683881064,185.9802142,128625
1033,185.9792831,1.779819781e+11,99870875,537000,0.2694314032,185.9792831,129125
1037,185.978352,1.785818643e+11,99870375,537000,0.2704747001,185.978352,129625
