N_Rock,T,C,M_SE,R,T_deploy,T_remain,M_direct
943,186.0002328,1.644845388e+11,99882125,537000,0.2459572248,186.0002328,117875
947,185.9993017,1.650844249e+11,99881625,537000,0.2470005216,185.9993017,118375
951,185.9983706,1.656843111e+11,99881125,537000,0.2480438185,185.9983706,118875
955,185.9974395,1.662841973e+11,99880625,537000,0.2490871153,185.9974395,119375
959,185.9965084,1.668840835e+11,99880125,537000,0.2501304121,185.9965084,119875
963,185.9955773,1.674839697e+11,99879625,537000,0.2511737089,185.9955773,120375
967,185.9946462,1.680838559e+11,99879125,537000,0.2522170057,185.9946462,120875
971,185.9937151,1.686837421e+11,99878625,537000,0.2532603026,185.9937151,121375
975,185.992784,1.692836283e+11,99878125,537000,0.2543035994,185.992784,121875
979,185.9918529,1.698835145e+11,99877625,537000,0.2553468962,185.9918529,122375
983,185.9909218,1.704834007e+11,99877125,537000,0.256390193,185.9909218,122875
987,185.9899907,1.710832869e+11,99876625,537000,0.2574334898,185.9899907,123375
991,185.9890596,1.716831731e+11,99876125,537000,0.2584767866,185.9890596,123875
995,185.9881285,1.722830593e+11,99875625,537000,0.2595200835,185.9881285,124375
999,185.9871974,1.728829455e+11,99875125,537000,0.2605633803,185.9871974,124875
1003,185.9862663,1.734828316e+11,99874625,537000,0.2616066771,185.9862663,125375
1007,185.9853352,1.740827178e+11,99874125,537000,0.2626499739,185.9853352,125875
1011,185.9844041,1.74682604e+11,99873625,537000,0.2636932707,185.9844041,126375
1015,185.983473,1.752824902e+11,99873125,537000,0.2647365676,185.983473,126875
1019,185.9825419,1.758823764e+11,99872625,537000,0.2657798644,185.9825419,127375
1023,185.9816108,1.764822626e+11,99872125,537000,0.2668231612,185.9816108,127875
1027,185.9806797,1.770821488e+11,99871625,537000,0.267866458,185.9806797,128375
1031,185.9797486,1.77682035e+11,99871125,537000,0.2689097548,185.9797486,128875
1035,185.9788175,1.782819212e+11,99870625,537000,0.2699530516,185.9788175,129375
1039,185.9778864,1.788818074e+11,99870125,537000,0.2709963485,185.9778864,129875
1043,185.9769553,1.794816936e+11,99869625,537000,0.2720396453,185.9769553,130375
1047,185.9760242,1.800815798e+11,99869125,537000,0.2730829421,185.9760242,130875
1051,185.9750931,1.80681466e+11,99868625,537000,0.2741262389,185.9750931,131375
1055,185.974162,1.812813522e+11,99868125,537000,0.2751695357,185.974162,131875
1059,185.9732309,1.818812384e+11,99867625,537000,0.2762128326,185.9732309,132375
1063,185.9722998,1.824811245e+11,99867125,537000,0.2772561294,185.9722998,132875
1067,185.9713687,1.830810107e+11,99866625,537000,0.2782994262,185.9713687,133375
1071,185.9704376,1.836808969e+11,99866125,537000,0.279342723,185.9704376,133875
1075,185.9695065,1.842807831e+11,99865625,537000,0.2803860198,185.9695065,134375
1079,185.9685754,1.848806693e+11,99865125,537000,0.2814293166,185.9685754,134875
1083,185.9676443,1.854805555e+11,99864625,537000,0.2824726135,185.9676443,135375
1087,185.9667132,1.860804417e+11,99864125,537000,0.2835159103,185.9667132,135875
1091,185.9657821,1.866803279e+11,99863625,537000,0.2845592071,185.9657821,136375
1095,185.964851,1.872802141e+11,99863125,537000,0.2856025039,185.964851,136875
1099,185.9639199,1.878801003e+11,99862625,537000,0.2866458007,185.9639199,137375
1103,185.9629888,1.884799865e+11,99862125,537000,0.2876890975,185.9629888,137875
1107,185.9620577,1.890798727e+11,99861625,537000,0.2887323944,185.9620577,138375
1111,185.9611266,1.896797589e+11,99861125,537000,0.2897756912,185.9611266,138875
1115,185.9601955,1.902796451e+11,99860625,537000,0.290818988,185.9601955,139375
1119,185.9592644,1.908795313e+11,99860125,537000,0.2918622848,185.9592644,139875
1123,185.9583333,1.914794174e+11,99859625,537000,0.2929055816,185.9583333,140375
1127,185.9574022,1.920793036e+11,99859125,537000,0.2939488785,185.9574022,140875
1131,185.9564711,1.926791898e+11,99858625,537000,0.2949921753,185.9564711,141375
1135,185.95554,1.93279076e+11,99858125,537000,0.2960354721,185.95554,141875
1139,185.9546089,1.938789622e+11,99857625,537000,0.2970787689,185.9546089,142375
1143,185.9536778,1.944788484e+11,99857125,537000,0.2981220657,185.9536778,142875
1147,185.9527467,1.950787346e+11,99856625,537000,0.2991653625,185.9527467,143375
1151,185.9518156,1.956786208e+11,99856125,537000,0.3002086594,185.9518156,143875
1155,185.9508845,1.96278507e+11,99855625,537000,0.3012519562,185.9508845,144375
1159,185.9499534,1.968783932e+11,99855125,537000,0.302295253,185.9499534,144875
1163,185.9490223,1.974782794e+11,99854625,537000,0.3033385498,185.9490223,145375
1167,185.9480912,1.980781656e+11,99854125,537000,0.3043818466,185.9480912,145875
1171,185.9471601,1.986780518e+11,99853625,537000,0.3054251435,185.9471601,146375
1175,185.9462291,1.99277938e+11,99853125,537000,0.3064684403,185.9462291,146875
1179,185.945298,1.998778241e+11,99852625,537000,0.3075117371,185.945298,147375
1183,185.9443669,2.004777103e+11,99852125,537000,0.3085550339,185.9443669,147875
1187,185.9434358,2.010775965e+11,99851625,537000,0.3095983307,185.9434358,148375
1191,185.9425047,2.016774827e+11,99851125,537000,0.3106416275,185.9425047,148875
1195,185.9415736,2.022773689e+11,99850625,537000,0.3116849244,185.9415736,149375
1199,185.9406425,2.028772551e+11,99850125,537000,0.3127282212,185.9406425,149875
1203,185.9397114,2.034771413e+11,99849625,537000,0.313771518,185.9397114,150375
1207,185.9387803,2.040770275e+11,99849125,537000,0.3148148148,185.9387803,150875
1211,185.9378492,2.046769137e+11,99848625,537000,0.3158581116,185.9378492,151375
1215,185.9369181,2.052767999e+11,99848125,537000,0.3169014085,185.9369181,151875
1219,185.935987,2.058766861e+11,99847625,537000,0.3179447053,185.935987,152375
1223,185.9350559,2.064765723e+11,99847125,537000,0.3189880021,185.9350559,152875
